accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
0.8315220475196838,0.9241918325424194,0.36708515882492065,0.6812483668327332,0.9143007397651672,0.8094431161880493,0.9638272523880005,0.4154060184955597,0.6063031554222107,1.0,0.0010000000474974513
0.9182910919189453,0.9741642475128174,0.21020112931728363,0.8132767677307129,0.9747633934020996,0.9009685516357422,0.9808979630470276,0.23812806606292725,0.7507807612419128,0.9917491674423218,0.0010000000474974513
0.9244436621665955,0.9782133102416992,0.1959817111492157,0.8257193565368652,0.9756397008895874,0.9631960988044739,0.9921579360961914,0.12411586195230484,0.9064416885375977,0.9752475023269653,0.0010000000474974513
0.9414064884185791,0.984910249710083,0.15941964089870453,0.8591570854187012,0.9824745655059814,0.9680387377738953,0.9927472472190857,0.11623094230890274,0.9109588861465454,0.9876237511634827,0.0010000000474974513
0.9547467231750488,0.9898933172225952,0.13166543841362,0.887872576713562,0.9866806864738464,0.9564164876937866,0.9892958402633667,0.1549559086561203,0.8706896305084229,1.0,0.0010000000474974513
0.9604967832565308,0.9918065071105957,0.11833637207746506,0.900303065776825,0.9891342520713806,0.978450357913971,0.9969131946563721,0.0835791826248169,0.9315910935401917,1.0,0.0010000000474974513
0.9640618562698364,0.9916545152664185,0.11674027144908905,0.9089006781578064,0.9896600246429443,0.9745762944221497,0.9951304793357849,0.09782631695270538,0.9215536713600159,0.9983498454093933,0.0010000000474974513
0.9620493650436401,0.9923363327980042,0.1139991283416748,0.904975950717926,0.9880827069282532,0.9416465163230896,0.9912216067314148,0.16091464459896088,0.8341362476348877,1.0,0.0010000000474974513
0.965614378452301,0.9930795431137085,0.10889769345521927,0.9134023785591125,0.988959014415741,0.9472154974937439,0.988633930683136,0.1469782590866089,0.868148148059845,0.9669967293739319,0.0010000000474974513
0.9736645221710205,0.9954501390457153,0.08958856016397476,0.9320052862167358,0.9921135902404785,0.9849879145622253,0.9976910352706909,0.06718358397483826,0.9570747017860413,0.9933993220329285,0.0010000000474974513
0.9774020910263062,0.996688723564148,0.0777074471116066,0.9425287246704102,0.9915878176689148,0.9719128608703613,0.9958698749542236,0.10659365355968475,0.9132729768753052,0.9991748929023743,0.0010000000474974513
0.973779559135437,0.9958661198616028,0.08652174472808838,0.9335976243019104,0.9905362725257874,0.9837772250175476,0.9980946183204651,0.07308481633663177,0.9743164777755737,0.9702970385551453,0.0010000000474974513
0.9787245988845825,0.9967667460441589,0.07740558683872223,0.9460046887397766,0.9917630553245544,0.9554479122161865,0.9955659508705139,0.1462937593460083,0.8708513975143433,0.9958745837211609,0.0010000000474974513
0.9841297268867493,0.9976126551628113,0.06452024728059769,0.9583051800727844,0.994917631149292,0.9891040921211243,0.9984147548675537,0.05569896847009659,0.9686747193336487,0.9950494766235352,0.0010000000474974513
0.9791271090507507,0.9969539046287537,0.07296150177717209,0.9471129775047302,0.9917630553245544,0.9508474469184875,0.9940478801727295,0.15141013264656067,0.8570417761802673,0.9991748929023743,0.0010000000474974513
0.9776321053504944,0.9960675239562988,0.07906665652990341,0.9421253800392151,0.9928146004676819,0.9486683011054993,0.9947037696838379,0.17391757667064667,0.8551136255264282,0.9933993220329285,0.0010000000474974513
0.9673394560813904,0.9937782883644104,0.10135500133037567,0.920045793056488,0.9861549139022827,0.9598063230514526,0.9973881244659424,0.11263367533683777,0.8795355558395386,1.0,0.0010000000474974513
0.9830371737480164,0.9981149435043335,0.06221890449523926,0.9555480480194092,0.9945670962333679,0.9895883798599243,0.9989758729934692,0.05277746170759201,0.9657370448112488,1.0,0.0010000000474974513
0.9868897795677185,0.9979053139686584,0.05677475035190582,0.967725396156311,0.9931650757789612,0.970460057258606,0.9942843914031982,0.11020734161138535,0.9091591835021973,0.9991748929023743,0.0010000000474974513
0.9878097772598267,0.998375654220581,0.05197856202721596,0.969251811504364,0.9943918585777283,0.9910411834716797,0.9993667602539062,0.047312233597040176,0.9703763127326965,1.0,0.0010000000474974513
0.9841872453689575,0.9979686737060547,0.06253711879253387,0.9600203037261963,0.9931650757789612,0.988619863986969,0.998667299747467,0.05439567565917969,0.9686242938041687,0.9933993220329285,0.0010000000474974513
0.9879248142242432,0.9984432458877563,0.05361996218562126,0.9691020846366882,0.994917631149292,0.9905568957328796,0.9990789890289307,0.047383394092321396,0.9695756435394287,0.9991748929023743,0.0010000000474974513
0.9901673197746277,0.9989569187164307,0.04584478586912155,0.974293053150177,0.9963196516036987,0.989830493927002,0.9986497163772583,0.053211238235235214,0.9665071964263916,1.0,0.0010000000474974513
0.9890748262405396,0.9984149932861328,0.04989895597100258,0.9730703234672546,0.9942166209220886,0.9760290384292603,0.9968054294586182,0.08419782668352127,0.9270913004875183,0.9966996908187866,0.0010000000474974513
0.983727216720581,0.9978708028793335,0.062195710837841034,0.9571741819381714,0.994917631149292,0.9857142567634583,0.9990781545639038,0.06285034120082855,0.953579843044281,1.0,0.0010000000474974513
0.9881547689437866,0.9985713958740234,0.05121785029768944,0.9691231846809387,0.9956186413764954,0.9799031615257263,0.9980491399765015,0.07222166657447815,0.9476605653762817,0.985973596572876,0.0010000000474974513
0.9940198659896851,0.9997341632843018,0.033653076738119125,0.9844344258308411,0.9975464344024658,0.9762712121009827,0.9964010715484619,0.10571417212486267,0.9251908659934998,1.0,0.0005000000237487257
0.9955149292945862,0.9995444416999817,0.029951272532343864,0.9885416626930237,0.9978969693183899,0.9922518134117126,0.9990750551223755,0.04407167062163353,0.9742765426635742,1.0,0.0005000000237487257
