accuracy,auc,loss,precision,recall,val_accuracy,val_auc,val_loss,val_precision,val_recall,learning_rate
0.8548786640167236,0.9376427531242371,0.338701993227005,0.7183645367622375,0.9142705798149109,0.9179794788360596,0.9722491502761841,0.23148804903030396,0.7978216409683228,0.9742310643196106,0.0010000000474974513
0.934989333152771,0.9828692674636841,0.17680266499519348,0.8477561473846436,0.9763626456260681,0.9394848942756653,0.9893238544464111,0.18340237438678741,0.8362491130828857,0.9933499693870544,0.0010000000474974513
0.9574087858200073,0.9912280440330505,0.13252076506614685,0.8970683217048645,0.9823601841926575,0.9589897394180298,0.9913758039474487,0.13787797093391418,0.8926681876182556,0.9817124009132385,0.0010000000474974513
0.9643248319625854,0.9927189350128174,0.11718614399433136,0.9119086265563965,0.9860645532608032,0.9597399234771729,0.99399334192276,0.13305291533470154,0.8836524486541748,0.9975062608718872,0.0010000000474974513
0.9689931273460388,0.9944968819618225,0.10321679711341858,0.9232800006866455,0.9871229529380798,0.9724931120872498,0.994033694267273,0.10565131902694702,0.9259548187255859,0.9875311851501465,0.0010000000474974513
0.9738919734954834,0.9951538443565369,0.09481724351644516,0.9356832504272461,0.9880049228668213,0.961990475654602,0.9927251935005188,0.15029382705688477,0.888396143913269,0.9991687536239624,0.0010000000474974513
0.973373293876648,0.9956488013267517,0.0921553522348404,0.9335553646087646,0.9888869524002075,0.9782445430755615,0.9941518902778625,0.10419824719429016,0.9325581192970276,1.0,0.0010000000474974513
0.9800587892532349,0.9971181750297546,0.07514601945877075,0.9510252475738525,0.9899452924728394,0.9562390446662903,0.9920524954795837,0.1778896003961563,0.8735465407371521,0.9991687536239624,0.0010000000474974513
0.9705492258071899,0.995218813419342,0.09423293173313141,0.9274113178253174,0.9871229529380798,0.9827457070350647,0.9948176741600037,0.08262606710195541,0.9528753757476807,0.9916874766349792,0.0010000000474974513
0.976543128490448,0.9961783289909363,0.08353140205144882,0.9408512115478516,0.9904745221138,0.9794948697090149,0.994880735874176,0.09104961156845093,0.9437846541404724,0.9908561706542969,0.0010000000474974513
