accuracy,auc,f1,loss,precision,recall,val_accuracy,val_auc,val_f1,val_loss,val_precision,val_recall,learning_rate
0.70932537317276,0.8167973756790161,0.3861144185066223,0.03671367093920708,0.8328076004981995,0.523809552192688,0.5052083134651184,0.5555676221847534,0.5820028781890869,0.0669199526309967,0.503740668296814,0.7013888955116272,0.0005000000237487257
0.8142361044883728,0.8951868414878845,0.45469290018081665,0.029515577480196953,0.8768590092658997,0.7311508059501648,0.5746527910232544,0.6724175214767456,0.5421303510665894,0.0488368421792984,0.563049852848053,0.6666666865348816,0.0005000000237487257
0.8313491940498352,0.9115817546844482,0.4626864790916443,0.027329906821250916,0.8847926259040833,0.761904776096344,0.6059027910232544,0.7053674459457397,0.5492957234382629,0.05351335555315018,0.5868945717811584,0.7152777910232544,0.0005000000237487257
0.838789701461792,0.9213595390319824,0.4615384042263031,0.025843342766165733,0.8952546119689941,0.7673611044883728,0.7170138955116272,0.8182990550994873,0.48663094639778137,0.03754382207989693,0.7289377450942993,0.6909722089767456,0.0005000000237487257
0.8566468358039856,0.9355133771896362,0.4722512662410736,0.02383200265467167,0.8985587358474731,0.8040674328804016,0.6475694179534912,0.7593556642532349,0.5707898139953613,0.05068062245845795,0.6109660863876343,0.8125,0.0005000000237487257
0.8628472089767456,0.9361625909805298,0.47731390595436096,0.02369675599038601,0.8973383903503418,0.8194444179534912,0.6753472089767456,0.7728226184844971,0.5534883141517639,0.04909282550215721,0.6414566040039062,0.7951388955116272,0.0005000000237487257
0.876240074634552,0.945111870765686,0.4767712950706482,0.022087905555963516,0.9129014611244202,0.831845223903656,0.6145833134651184,0.6919307112693787,0.4503816068172455,0.061089687049388885,0.6398305296897888,0.5243055820465088,0.0005000000237487257
0.8782241940498352,0.9494820833206177,0.4786655902862549,0.02127709425985813,0.9119395017623901,0.8373016119003296,0.6666666865348816,0.7446590065956116,0.48201432824134827,0.04609685391187668,0.6791045069694519,0.6319444179534912,0.0005000000237487257
0.8804563283920288,0.9551997184753418,0.48201432824134827,0.019952116534113884,0.9088486433029175,0.8457341194152832,0.734375,0.8090217113494873,0.5008664727210999,0.04361735284328461,0.733564019203186,0.7361111044883728,0.0005000000237487257
0.88120037317276,0.9513775706291199,0.4821473956108093,0.021108463406562805,0.9094299674034119,0.8467261791229248,0.6961805820465088,0.7820758819580078,0.5175879001617432,0.04296049475669861,0.6828479170799255,0.7326388955116272,0.0005000000237487257
0.8814483880996704,0.9579238295555115,0.4833418130874634,0.019348591566085815,0.9077412486076355,0.8492063283920288,0.6788194179534912,0.7549129724502563,0.5207986235618591,0.04927888885140419,0.664536714553833,0.7222222089767456,0.0005000000237487257
0.893105149269104,0.9613431692123413,0.49129441380500793,0.018586918711662292,0.9070364832878113,0.8759920597076416,0.6510416865348816,0.725013256072998,0.5669172406196594,0.06319413334131241,0.6153846383094788,0.8055555820465088,0.0002500000118743628
0.9047619104385376,0.967888593673706,0.4867616593837738,0.01717272959649563,0.926778256893158,0.8789682388305664,0.7413194179534912,0.8399823904037476,0.5008664727210999,0.038335155695676804,0.7404844164848328,0.7430555820465088,0.0002500000118743628
0.9084821343421936,0.971269428730011,0.4887140989303589,0.016154395416378975,0.9273481965065002,0.8864087462425232,0.7569444179534912,0.8756511211395264,0.5339804887771606,0.03715147450566292,0.7242424488067627,0.8298611044883728,0.0002500000118743628
0.907490074634552,0.9702249765396118,0.48767465353012085,0.016430655494332314,0.9280875325202942,0.8834325671195984,0.75,0.8312596678733826,0.4782608151435852,0.04376956447958946,0.7727272510528564,0.7083333134651184,0.0002500000118743628
0.8983134627342224,0.96657395362854,0.49065178632736206,0.01740650273859501,0.9134912490844727,0.879960298538208,0.6788194179534912,0.7421392798423767,0.557603657245636,0.06143946945667267,0.641873300075531,0.8090277910232544,0.0002500000118743628
0.9094741940498352,0.9709306955337524,0.49000751972198486,0.01634381338953972,0.926174521446228,0.8898809552192688,0.7065972089767456,0.818805456161499,0.5464566349983215,0.05013801157474518,0.6714697480201721,0.8090277910232544,0.0002500000118743628
0.9077380895614624,0.9689379930496216,0.4921913743019104,0.016712771728634834,0.92067551612854,0.8923611044883728,0.703125,0.8347197771072388,0.5562402606010437,0.04663701355457306,0.6620498895645142,0.8298611044883728,0.0002500000118743628
0.91567462682724,0.9714789986610413,0.49090903997421265,0.015982771292328835,0.9310699701309204,0.8978174328804016,0.7013888955116272,0.7985448241233826,0.5199999213218689,0.049931447952985764,0.6858974099159241,0.7430555820465088,0.0002500000118743628
0.9146825671195984,0.9744328856468201,0.49270251393318176,0.015342215076088905,0.9269663095474243,0.9002976417541504,0.6770833134651184,0.7737027406692505,0.5514018535614014,0.06278714537620544,0.6440678238868713,0.7916666865348816,0.0002500000118743628
0.9154266119003296,0.9757232666015625,0.4941028356552124,0.014823149889707565,0.9253427982330322,0.903769850730896,0.6684027910232544,0.7488486170768738,0.5255353450775146,0.06627155095338821,0.6520376205444336,0.7222222089767456,0.0002500000118743628
