epoch,accuracy,auc,f1,loss,precision,recall,val_accuracy,val_auc,val_f1,val_loss,val_precision,val_recall
0,0.6951333284378052,0.7710249423980713,0.2435586154460907,0.11789623647928238,0.32148221135139465,0.6963123679161072,0.8900235891342163,0.9265279769897461,0.33529406785964966,0.0774930790066719,0.45045045018196106,0.8474576473236084
1,0.8047734498977661,0.8617292642593384,0.22498713433742523,0.09649538993835449,0.4604179859161377,0.7885032296180725,0.8342497944831848,0.9371377229690552,0.29478919506073,0.08887746930122375,0.34951457381248474,0.9152542352676392
2,0.8334887027740479,0.8814675807952881,0.22467368841171265,0.09065139293670654,0.5100069046020508,0.801518440246582,0.8782404065132141,0.9382823705673218,0.3381386399269104,0.08234235644340515,0.4257028102874756,0.8983050584793091
3,0.8387096524238586,0.8958460688591003,0.22517387568950653,0.08521799743175507,0.5194805264472961,0.8242949843406677,0.9010211825370789,0.9162814617156982,0.3300402760505676,0.049788180738687515,0.4791666567325592,0.7796609997749329
4,0.8469140529632568,0.9060369729995728,0.22175800800323486,0.08293284475803375,0.5360972285270691,0.8134490251541138,0.9033778309822083,0.935897707939148,0.3567628860473633,0.0645584836602211,0.4881516695022583,0.8728813529014587
5,0.8396419882774353,0.9155921936035156,0.22473450005054474,0.0780639499425888,0.5207219123840332,0.8449023962020874,0.7611940503120422,0.909916341304779,0.2630709111690521,0.10578383505344391,0.2742718458175659,0.9576271176338196
6,0.8379638195037842,0.914391815662384,0.22498242557048798,0.07837878912687302,0.5172863602638245,0.8600867390632629,0.9198743104934692,0.9424315690994263,0.36359789967536926,0.04336277022957802,0.5449438095092773,0.8220338821411133
7,0.8549319505691528,0.919508695602417,0.22379671037197113,0.07619833946228027,0.550632894039154,0.849240779876709,0.7949724793434143,0.9372477531433105,0.3051624298095703,0.08666658401489258,0.30083566904067993,0.9152542352676392
8,0.8510162234306335,0.9313894510269165,0.2323579490184784,0.07022501528263092,0.5405940413475037,0.8882863521575928,0.8641005754470825,0.967616856098175,0.3397555947303772,0.0653347298502922,0.4021352231502533,0.9576271176338196
9,0.8567965626716614,0.9362133741378784,0.22492678463459015,0.06859011948108673,0.5515394806861877,0.8937093019485474,0.8727415800094604,0.8929928541183472,0.32087984681129456,0.06927550584077835,0.40833333134651184,0.8305084705352783
10,0.8377773761749268,0.9303649067878723,0.22898873686790466,0.0710129365324974,0.5163934230804443,0.8882863521575928,0.8499607443809509,0.9422848224639893,0.31728389859199524,0.06895191222429276,0.3728223145008087,0.9067796468734741
11,0.8581017851829529,0.9376893043518066,0.231374591588974,0.06722316890954971,0.5537024736404419,0.9002169370651245,0.8892379999160767,0.9374861717224121,0.3445558249950409,0.05913557484745979,0.4502164423465729,0.8813559412956238
12,0.8834607601165771,0.9529690146446228,0.2215098738670349,0.05864306166768074,0.6067577004432678,0.9154012799263,0.8750981688499451,0.926359236240387,0.3398328423500061,0.05809055641293526,0.4149377644062042,0.8474576473236084
13,0.8952078819274902,0.9597126841545105,0.22162964940071106,0.05340181663632393,0.6339285969734192,0.924078106880188,0.8303220868110657,0.919245719909668,0.3287259042263031,0.07127974182367325,0.33557048439979553,0.8474576473236084
14,0.8907328248023987,0.9600642919540405,0.22965510189533234,0.052585668861866,0.6203438639640808,0.9392624497413635,0.8334642648696899,0.9244295358657837,0.306790828704834,0.07430831342935562,0.34228187799453735,0.8644067645072937
15,0.8912922143936157,0.9634722471237183,0.22344531118869781,0.04987208917737007,0.6208125352859497,0.9446854591369629,0.7981147170066833,0.8964194059371948,0.2946230173110962,0.07678116858005524,0.2912912964820862,0.8220338821411133
16,0.8905463218688965,0.965157151222229,0.22065243124961853,0.048911891877651215,0.6195574402809143,0.9414316415786743,0.8444619178771973,0.9387519359588623,0.32536759972572327,0.06100035458803177,0.36206895112991333,0.8898305296897888
17,0.9022935032844543,0.9700069427490234,0.22291967272758484,0.04547695443034172,0.6463235020637512,0.953362226486206,0.8656716346740723,0.9305120706558228,0.3399859368801117,0.05612553656101227,0.3891213536262512,0.7881355881690979
18,0.9088196754455566,0.9692724347114563,0.21524947881698608,0.04561002179980278,0.6641395092010498,0.9501084685325623,0.8538884520530701,0.9329554438591003,0.33982324600219727,0.06559906154870987,0.3712121248245239,0.8305084705352783
19,0.9196345210075378,0.9732272624969482,0.2222348004579544,0.04186510294675827,0.6913483738899231,0.962039053440094,0.8719559907913208,0.9316347241401672,0.3415241837501526,0.06022355332970619,0.4034334719181061,0.7966101765632629
20,0.918702244758606,0.9754330515861511,0.22077696025371552,0.04076589643955231,0.689547598361969,0.9587852358818054,0.8389630913734436,0.9141095876693726,0.32120248675346375,0.07159270346164703,0.34296029806137085,0.805084764957428
21,0.9149729609489441,0.9714564085006714,0.220272496342659,0.044410575181245804,0.6806201338768005,0.952277660369873,0.8397486209869385,0.9038850665092468,0.3229166269302368,0.0719686970114708,0.34191176295280457,0.7881355881690979
