epoch,accuracy,auc,f1,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_f1,val_loss,val_precision,val_recall
0,0.8428774476051331,0.7646265029907227,0.13746243715286255,0.0005000000237487257,0.06084079295396805,0.5363128781318665,0.33141541481018066,0.916757345199585,0.7501397132873535,0.4604436457157135,0.03896099701523781,0.4787878692150116,0.5410959124565125
1,0.8668244481086731,0.8869243264198303,0.18918439745903015,0.0005000000237487257,0.04639219492673874,0.5825436115264893,0.6720368266105652,0.8868334889411926,0.776292085647583,0.3782811462879181,0.042631845921278,0.35514017939567566,0.5205479264259338
2,0.8675816655158997,0.8999509811401367,0.18925489485263824,0.0005000000237487257,0.04402747005224228,0.5830475091934204,0.6846950650215149,0.816648542881012,0.7824715375900269,0.2912920415401459,0.05566354840993881,0.22946175932884216,0.5547945499420166
3,0.8672030568122864,0.8932461142539978,0.19130168855190277,0.0005000000237487257,0.04530056193470955,0.5842979550361633,0.6680092215538025,0.8971708416938782,0.7907558679580688,0.4125925302505493,0.04085974395275116,0.3951219618320465,0.5547945499420166
4,0.8814008235931396,0.9188465476036072,0.19432219862937927,0.0005000000237487257,0.04019629955291748,0.6178901195526123,0.7313003540039062,0.8764961957931519,0.8029425144195557,0.3965816795825958,0.04909743741154671,0.3460076153278351,0.6232876777648926
5,0.8861334323883057,0.9233378171920776,0.19438263773918152,0.0005000000237487257,0.039090074598789215,0.6282973885536194,0.7537399530410767,0.8792165517807007,0.8131618499755859,0.40022432804107666,0.0449768491089344,0.3527131676673889,0.6232876777648926
6,0.8955986499786377,0.9338130950927734,0.19315029680728912,0.0002500000118743628,0.036529093980789185,0.6554087400436401,0.7704257965087891,0.8949945569038391,0.8277692198753357,0.4379095733165741,0.040581222623586655,0.3982684016227722,0.6301369667053223
7,0.895977258682251,0.937012791633606,0.19652892649173737,0.0002500000118743628,0.035725757479667664,0.6522153615951538,0.7876870036125183,0.9020674824714661,0.8260589838027954,0.45330941677093506,0.04152555763721466,0.4220183491706848,0.6301369667053223
8,0.8996686935424805,0.9416030645370483,0.19825035333633423,0.0002500000118743628,0.034492917358875275,0.6637681126594543,0.7905638813972473,0.7883569002151489,0.7985079288482666,0.2891753315925598,0.0661589652299881,0.21809744834899902,0.6438356041908264
9,0.8984382152557373,0.9439013004302979,0.19554895162582397,0.0002500000118743628,0.033838022500276566,0.6607056260108948,0.7865362763404846,0.8438519835472107,0.8077354431152344,0.3426245152950287,0.05239740014076233,0.28037384152412415,0.6164383292198181
