epoch,accuracy,auc,f1,learning_rate,loss,precision,recall,val_accuracy,val_auc,val_f1,val_loss,val_precision,val_recall
10,0.8996686935424805,0.9451546669006348,0.19761811196804047,0.0002500000118743628,0.033485088497400284,0.6614285707473755,0.7991944551467896,0.9211099147796631,0.8281700611114502,0.4935857951641083,0.03416271507740021,0.5028571486473083,0.6027397513389587
11,0.9022243022918701,0.9496601819992065,0.19207529723644257,0.0002500000118743628,0.032259583473205566,0.6751117706298828,0.7819332480430603,0.8993471264839172,0.8170520067214966,0.4426826536655426,0.04029170423746109,0.40758293867111206,0.5890411138534546
12,0.9048745632171631,0.9486534595489502,0.19376571476459503,0.0002500000118743628,0.032467298209667206,0.6813458800315857,0.7922899723052979,0.899891197681427,0.8170641660690308,0.4388515055179596,0.042368363589048386,0.4103773534297943,0.5958904027938843
13,0.9112162590026855,0.9531702399253845,0.1896640509366989,0.0002500000118743628,0.03112083300948143,0.7055498361587524,0.7899885177612305,0.8922742009162903,0.8145767450332642,0.4271877706050873,0.04735869914293289,0.38695651292800903,0.6095890402793884
14,0.9115002155303955,0.9548419713973999,0.19692732393741608,0.0002500000118743628,0.03049328550696373,0.6986640095710754,0.8124280571937561,0.9102284908294678,0.8257452249526978,0.474444180727005,0.04025748372077942,0.4517766535282135,0.6095890402793884
15,0.9145290851593018,0.9562520980834961,0.19056867063045502,0.0002500000118743628,0.030222725123167038,0.7162092328071594,0.7957422137260437,0.7916213274002075,0.7873797416687012,0.29319247603416443,0.07968153059482574,0.22117647528648376,0.6438356041908264
16,0.9136772155761719,0.9592891931533813,0.19431449472904205,0.0001250000059371814,0.029195938259363174,0.7060878276824951,0.8141542077064514,0.909684419631958,0.8186429738998413,0.4663617014884949,0.040310587733983994,0.44897958636283875,0.6027397513389587
17,0.9200189113616943,0.9632249474525452,0.19354616105556488,0.0001250000059371814,0.027781108394265175,0.7263051271438599,0.824510931968689,0.9058759808540344,0.8108949661254883,0.45661497116088867,0.04128550365567207,0.4334975481033325,0.6027397513389587
18,0.9203028678894043,0.9650396704673767,0.1930742859840393,0.0001250000059371814,0.02708117663860321,0.726262629032135,0.827387809753418,0.8944504857063293,0.8050900101661682,0.4318574368953705,0.04760274291038513,0.395652174949646,0.6232876777648926
19,0.9260766506195068,0.9653192758560181,0.19439241290092468,0.0001250000059371814,0.027014968916773796,0.7467767000198364,0.833141565322876,0.8944504857063293,0.8001494407653809,0.4255651831626892,0.04824531078338623,0.3947368562221527,0.6164383292198181
20,0.9207761287689209,0.9646215438842773,0.19537119567394257,0.0001250000059371814,0.027200328186154366,0.7253626585006714,0.8342922925949097,0.9134929180145264,0.8135403394699097,0.4783456325531006,0.039956897497177124,0.46560847759246826,0.6027397513389587
21,0.9274017810821533,0.9676557779312134,0.19151008129119873,6.25000029685907e-05,0.026136334985494614,0.7543216347694397,0.8285385370254517,0.9124047756195068,0.8099091649055481,0.4709188938140869,0.040439266711473465,0.46073299646377563,0.6027397513389587
22,0.9321343898773193,0.9698694944381714,0.1906317174434662,6.25000029685907e-05,0.025287367403507233,0.7635518908500671,0.8509781360626221,0.9129488468170166,0.8145564198493958,0.4723176658153534,0.04107842594385147,0.4642857015132904,0.6232876777648926
23,0.9277803897857666,0.9703449606895447,0.19474339485168457,6.25000029685907e-05,0.02507350780069828,0.7493606209754944,0.8429229259490967,0.907508134841919,0.806419849395752,0.46390417218208313,0.04606718569993973,0.4423076808452606,0.6301369667053223
24,0.9292948246002197,0.9702451825141907,0.1972181499004364,6.25000029685907e-05,0.02512464113533497,0.7506322860717773,0.8538550138473511,0.9194777011871338,0.8105509281158447,0.4916233718395233,0.04059060662984848,0.49450549483299255,0.6164383292198181
25,0.9302413463592529,0.9703866243362427,0.19054539501667023,6.25000029685907e-05,0.02500421181321144,0.7613577246665955,0.8388952612876892,0.9118607044219971,0.8069197535514832,0.4717086851596832,0.04378582909703255,0.46000000834465027,0.6301369667053223
