epoch,accuracy,auc,f1,loss,precision,recall,val_accuracy,val_auc,val_f1,val_loss,val_precision,val_recall,learning_rate
1,0.49440956115722656,0.7787221670150757,0.2478858083486557,0.18066778779029846,0.22181552648544312,0.8903036117553711,0.8555107712745667,0.9184380769729614,0.48274052143096924,0.08817114681005478,0.5913242101669312,0.8779661059379578,0.0010000000474974513
2,0.6739163994789124,0.8784931898117065,0.23690645396709442,0.14319999516010284,0.3123306334018707,0.9030362367630005,0.7916666865348816,0.9426371455192566,0.4525786340236664,0.10671877861022949,0.48704662919044495,0.9559321999549866,0.0010000000474974513
3,0.7013325095176697,0.8925905227661133,0.23437492549419403,0.13648463785648346,0.33381038904190063,0.9138100147247314,0.8245967626571655,0.9248611330986023,0.4550907611846924,0.08542142063379288,0.5345528721809387,0.8915254473686218,0.0010000000474974513
4,0.7509572505950928,0.9106876850128174,0.23182447254657745,0.12406136095523834,0.3780733644962311,0.9187071323394775,0.772849440574646,0.914158821105957,0.42433080077171326,0.09910447895526886,0.46410685777664185,0.9423728585243225,0.0010000000474974513
5,0.7474344968795776,0.9180831909179688,0.23071378469467163,0.11898507922887802,0.3763779401779175,0.9363369345664978,0.647849440574646,0.943591833114624,0.39219969511032104,0.1421687752008438,0.35811647772789,0.9796609878540039,0.0010000000474974513
6,0.7557052969932556,0.9156021475791931,0.2342764288187027,0.12133973836898804,0.38333332538604736,0.9236043095588684,0.8333333134651184,0.9569565653800964,0.49306413531303406,0.08842909336090088,0.5449330806732178,0.9661017060279846,0.0010000000474974513
7,0.7523357272148132,0.9202072620391846,0.2288113832473755,0.11696527898311615,0.3807045519351959,0.9314397573471069,0.7849462628364563,0.9337050914764404,0.4484737813472748,0.09790602326393127,0.4784853756427765,0.9423728585243225,0.0010000000474974513
8,0.7867973446846008,0.9386909008026123,0.2285132259130478,0.10309102386236191,0.41917210817337036,0.9422135353088379,0.8514785170555115,0.9547175168991089,0.4938230812549591,0.08298210799694061,0.5755102038383484,0.9559321999549866,0.0010000000474974513
9,0.7927707433700562,0.9399195909500122,0.227519690990448,0.1008554995059967,0.4268077611923218,0.948090136051178,0.9012096524238586,0.9496512413024902,0.510297417640686,0.052720509469509125,0.6968085169792175,0.8881356120109558,0.0010000000474974513
10,0.7844999432563782,0.9412877559661865,0.23019294440746307,0.09872903674840927,0.41637781262397766,0.9412341117858887,0.8232526779174805,0.9543850421905518,0.4718557298183441,0.0786241888999939,0.5298507213592529,0.9627118706703186,0.0010000000474974513
11,0.8136008381843567,0.9499964118003845,0.22867920994758606,0.09194277226924896,0.4542483687400818,0.9529872536659241,0.8830645084381104,0.9500092267990112,0.50447678565979,0.06233740970492363,0.6397228837013245,0.9389830231666565,0.0010000000474974513
12,0.833512008190155,0.9537973999977112,0.21897387504577637,0.08530497550964355,0.4836633801460266,0.9569050073623657,0.7822580933570862,0.9088268280029297,0.43026697635650635,0.10262465476989746,0.4742451012134552,0.9050847291946411,0.0010000000474974513
13,0.8309082388877869,0.9586440324783325,0.2221384346485138,0.08254770934581757,0.4797462224960327,0.9627816081047058,0.8622311949729919,0.9411467909812927,0.48213058710098267,0.0666707381606102,0.5995575189590454,0.9186440706253052,0.0010000000474974513
14,0.8541889786720276,0.9645466208457947,0.21887820959091187,0.07579535990953445,0.518129289150238,0.9657198786735535,0.8454301357269287,0.9493017196655273,0.4873071610927582,0.08486238121986389,0.5651302337646484,0.9559321999549866,0.0010000000474974513
