accuracy,auc,f1,loss,precision,recall,val_accuracy,val_auc,val_f1,val_loss,val_precision,val_recall,val_f1_dynamic,val_threshold
0.67724609375,0.7690906524658203,0.37370026111602783,0.07619312405586243,0.7970539927482605,0.4755859375,0.8003472089767456,0.9068347215652466,0.44077664613723755,0.05199877917766571,0.8810572624206543,0.6944444179534912,0.625,0.49999999999999994
0.77001953125,0.8595771789550781,0.44857290387153625,0.04975324869155884,0.831932783126831,0.6767578125,0.8038194179534912,0.9110665321350098,0.5175879001617432,0.04266951233148575,0.783171534538269,0.8402777910232544,0.6413793103448275,0.5999999999999999
0.79248046875,0.875734806060791,0.45791417360305786,0.04270065575838089,0.8462427854537964,0.71484375,0.7760416865348816,0.9099030494689941,0.4037266671657562,0.03821268677711487,0.9076923131942749,0.6145833134651184,0.6524822695035462,0.44999999999999996
0.7958984375,0.884833812713623,0.4535751938819885,0.039318401366472244,0.8564705848693848,0.7109375,0.828125,0.8994743824005127,0.4938488006591797,0.03759234398603439,0.836298942565918,0.8159722089767456,0.6461538461538462,0.5999999999999999
0.828125,0.9059619903564453,0.46722158789634705,0.035413287580013275,0.8741648197174072,0.7666015625,0.8385416865348816,0.9105721712112427,0.4829442799091339,0.034821849316358566,0.8624535202980042,0.8055555820465088,0.7289048473967684,0.5499999999999999
0.818359375,0.9037795066833496,0.45877373218536377,0.03510533645749092,0.8755760192871094,0.7421875,0.8229166865348816,0.9210611581802368,0.4586465656757355,0.032807644456624985,0.881147563457489,0.7465277910232544,0.6505295007564297,0.49999999999999994
0.83544921875,0.9117884635925293,0.46246713399887085,0.033112045377492905,0.8898978233337402,0.765625,0.8229166865348816,0.9335997700691223,0.44401535391807556,0.03121682070195675,0.904347836971283,0.7222222089767456,0.6585034013605442,0.39999999999999997
0.826171875,0.9126343727111816,0.46048465371131897,0.03241495415568352,0.8821510076522827,0.7529296875,0.8472222089767456,0.9324423670768738,0.45247143507003784,0.029828893020749092,0.9201680421829224,0.7604166865348816,0.7263681592039801,0.49999999999999994
0.845703125,0.9263033866882324,0.47540977597236633,0.029950257390737534,0.881465494632721,0.798828125,0.8246527910232544,0.9309413433074951,0.45142850279808044,0.02930847555398941,0.8945147395133972,0.7361111044883728,0.7090301003344481,0.49999999999999994
0.84765625,0.9226179122924805,0.4770173132419586,0.030230287462472916,0.881156325340271,0.8037109375,0.7621527910232544,0.8853443264961243,0.41582146286964417,0.034739069640636444,0.8682926893234253,0.6180555820465088,0.6104417670682731,0.44999999999999996
